name,energy,fflags,visible,opts
Ni,0.00,,,
2H*,-0.23,,,
CO2*_2H*,-0.24,,,
COOH*_H*,-0.15,,,
CO*_OH*_H*,0.09,,,
CO*_H2O*,-0.44,,,
H2O*,0.59,,,
CO*_O*_2H*,0.95,,,
CO*,-0.73,,,
CO*_2H*,-0.96,,,
CHO*_H*,-0.22,,,
CH*_H*_O*,2.66,,,
CH*_3H*_O*,2.43,,,
CH*_2H*_OH*,1.57,,,
CH*_H*_H2O*,1.04,,,
CH*_H*,0.75,,,
CH2*,0.21,,,
CH2*_2H*,-0.02,,,
CH3*_H*,-0.24,,,
CH4*,-1.26,,,
COH*_H*,0.86,,,
C*_OH*_H*,2.53,,,
C*_H2O*,1.99,,,
C*,1.71,,,
C*_2H*,1.48,,,
CHOH*,-0.14,,,
CH*_OH*,1.80,,,
CHOH*_2H*,-0.37,,,
CH2OH*_H*,0.65,,,
CH3OH*,-0.15,,,
CH2*_OH*_H*,1.03,,,
CH2*_H2O*,0.50,,,
H2(g),0,i,,
CO2(g),0,i,,
CO(g),0.22,i,,
H2O(g),0.22,i,,
CH3OH(g),0.04,i,,
CH4(g),-0.86,i,,
